Source,Target,Weight
tour,—,1
even,anoth,1
call,one,1
puff,pastri,1
dessert,’,1
dessert,go,1
final,detail,1
bar,mitzvah,3
pie,everyth,1
mitzvah,woke,1
mitzvah,“,2
pastri,cut,1
summer,dessert,1
caramel,flood,1
layer,dough,1
made,peach,1
fruit,butteri,1
work,put,1
then-babi,11,1
woke,earli,1
detail,togeth,1
10/6,might,1
soon,’,1
butteri,brown,1
butteri,layer,1
earli,lack,1
flood,plate,1
chunk,spice,1
interest,go,1
expand,flake,1
revers,process,1
cook,peach,1
cook,hooray,1
sinc,behind,1
true,crust,1
—,chunk,1
—,seem,1
—,excit,1
—,’,1
disappear,newslett,1
insid,call,1
guess,thrown,1
‘,mean,1
newslett,might,1
whim,occur,1
morn,dawn,1
thrown,cours,1
forgot,someth,1
part,actual,1
excit,thing,1
best,summer,1
best,part,1
behind,post,1
actual,mess,1
2022,book,1
third,cookbook,1
lack,interest,1
occur,one,1
make,soon,1
ever,made,1
fall,’,1
fall,2022,1
puddl,juic,1
old-fashion,appl,1
right,—,1
away,comment,1
dumpl,bourbon,1
dumpl,model,1
dumpl,’,1
dumpl,true,1
first,cookbook,1
seem,imposs,1
perfect,packet,1
appl,dumpl,1
appl,pie,1
appl,dessert,1
like,cook,1
like,puff,1
like,splash,1
dough,mingl,1
kitchen,smitten,1
kitchen,cookbook,1
kitchen,keeper,1
swoon,sauc,1
long,revers,1
packet,appl,1
smitten,kitchen,3
aforement,bar,1
spice,bake,1
juic,like,1
origin,plan,1
go,back,1
go,swoon,1
thing,’,1
thing,smitten,1
absolut,obsess,1
day,ago,1
day,week,1
bake,anyth,1
bake,fruit,1
process,fall,1
next,thursday,1
flake,like,1
48,day,1
hooray,cover,1
sleep,mind,1
earlier,origin,1
bourbon,hard,1
cover,everyth,1
splash,whiskey,1
mind,drift,1
mingl,puddl,1
drift,thing,1
week,insid,1
week,earlier,1
anyth,els,1
heavi,fill,1
everyth,love,1
everyth,next,1
everyth,probabl,1
put,final,1
’,ever,1
’,like,1
’,sure,1
’,want,1
’,absolut,1
’,glad,1
’,bar,1
’,everyth,1
post,cook,1
melt,side,1
probabl,forgot,1
trickl,butteri,1
mess,—,1
back,sleep,1
13th,birthday,1
anoth,new,1
fill,expand,1
thursday,10/6,1
took,long,1
cours,aforement,1
obsess,perfect,1
togeth,fall,1
might,guess,1
might,even,1
book,tour,1
glad,‘,1
ago,bar,1
pleas,make,1
plate,best,1
dawn,then-babi,1
model,old-fashion,1
brown,sugar,1
whiskey,appl,1
old,week,1
cut,trickl,1
recip,sinc,1
sure,took,1
love,peach,1
side,pleas,1
sugar,caramel,1
want,bake,1
new,recip,1
sauc,whim,1
sauc,melt,1
crust,unhind,1
turn,10,1
imposs,born,1
born,right,1
unhind,heavi,1
one,best,1
one,morn,1
year,old,1
keeper,third,1
peach,dumpl,3
11,day,1
plan,work,1
cookbook,first,1
cookbook,turn,1
cookbook,48,1
10,year,1
“,’,1
“,13th,1
els,’,1
hard,sauc,1
mean,disappear,1
someth,away,1
birthday,—,1
