Source,Target,Weight
other,confess,1
suit,use,1
differ,immedi,1
hydrat,detangl,1
spot,atlanta,1
also,serv,1
take,cue,1
peac,product,1
peac,pre-shampoo,1
peac,5-in-1,1
peac,creat,1
need,watch,1
posit,intuit,1
decis,wear,1
share,lot,1
product,recommend,1
product,demonstr,1
wash,day,3
routin,’,1
work,sure,1
—,word,1
—,whoop,1
—,need,1
—,mani,1
—,along,1
day,protect,1
day,routin,1
day,hydrat,1
protect,style,1
make,sure,1
make,curl,1
word,action,1
watch,languag,1
reviv,client,1
improv,relationship,1
approach,healthi,1
5-in-1,wonder,1
life,see,1
hair,comment,1
hair,affect,1
hair,confid,1
hair,accept,1
hair,specialist,1
hair,thrive,1
hair,serv,1
hair,care,2
hair,also,1
hair,come,1
hair,type,1
hair,healthi,1
hair,good,1
hair,regular,1
hair,love,1
nourish,defin,1
like,—,1
yep,hair,1
languag,time,1
brand,educ,1
action,talk,1
children,confid,1
textur,hair,1
textur,’,1
prais,beauti,1
pre-shampoo,detangl,1
articl,african-american,1
often,take,1
good,hair,2
got,tip,1
ethnic,hair,1
african-american,women,1
know,kid,1
style,long,1
style,20,1
style,’,1
style,tri,1
natur,posit,1
natur,hair,3
parent,expert,1
read,best,1
shape,form,1
follow,suit,1
follow,instagram,1
out,rod,1
beauti,hair,1
absorb,everyth,1
land,spot,1
check,websit,1
creat,awesom,1
bodi,workout,1
biggest,barrier,1
atlanta,fact,1
atlanta,journal-constitut,1
moistur,mainten,1
form,textur,1
scalp,moistur,1
tip,improv,1
tip,incred,1
tip,make,1
tip,post,1
anti-diet,approach,1
mani,us,1
year,atlanta,1
profici,natur,1
bottom,girl,1
intuit,anti-diet,1
tangl,biggest,1
girl,share,1
use,curl,1
tri,curl,1
tri,nourish,1
refresh,leave-in,1
whatev,style,1
whatev,shape,1
recommend,kid,1
slime,styler,1
daughter,cuss,1
talk,treat,1
talk,hair,1
specialist,parent,1
help,got,1
long,healthi,1
along,product,1
around,—,1
come,—,1
’,around,1
’,get,1
’,hair,2
’,articl,1
’,sure,1
’,tug,1
’,see,1
’,work,1
treat,other,1
best,tip,1
comment,’,1
leave-in,detangl,1
us,lack,1
affect,kid,1
regular,wash,1
rememb,first,1
expert,believ,1
see,ever,1
see,differ,1
see,adrienn,1
curl,peac,4
curl,refresh,1
curl,kid,1
rod,set,1
spray,curl,1
fit,bottom,1
healthi,life,1
healthi,adrienn,1
healthi,hair,2
littl,spong,1
braid,braid,1
braid,out,1
sure,children,1
sure,follow,1
sure,check,1
lack,help,1
wonder,spray,1
thank,adrienn,1
huge,thank,1
everyth,’,1
immedi,tri,1
care,land,1
care,natur,1
care,peopl,1
feel,good,1
accept,real,1
websit,follow,1
wear,natur,1
spong,absorb,1
demonstr,easi,1
love,style,1
mainten,key,1
20,year,1
tug,scalp,1
styler,curl,1
incred,adrienn,1
get,snack,1
cue,mom,1
client,’,1
serv,trendi,1
serv,brand,1
educ,read,1
packag,like,1
snack,packag,1
first,time,1
trendi,style,1
defin,slime,1
thrive,whatev,1
journal-constitut,’,1
mom,prais,1
set,huge,1
post,see,1
food,kid,1
type,textur,1
ever,think,1
relationship,bodi,1
barrier,make,1
confess,rememb,1
whoop,—,1
leak,ethnic,1
cuss,’,1
women,decis,1
thing,—,1
believ,hair,1
kid,littl,1
kid,natur,1
kid,yep,1
kid,often,1
kid,feel,1
adrienn,leak,1
adrienn,reviv,1
adrienn,tip,1
adrienn,’,1
detangl,stapl,1
detangl,wash,1
detangl,curl,1
peopl,tangl,1
confid,hair,1
confid,whatev,1
workout,food,1
fact,profici,1
think,talk,1
easi,care,1
stapl,wash,1
real,thing,1
key,healthi,1
awesom,braid,1
time,daughter,1
time,fit,1
lot,tip,1
