Source,Target,Weight
winkler,pexel,1
long,section,1
design,mark,1
design,assess,1
appli,context,1
first,four,1
medic,licens,1
carolina,kuepper-tetzel,1
principl,ai,1
principl,serv,1
discrimin,reinforc,1
either,directli,1
creat,teach,1
creat,person,1
creat,authent,1
increas,consist,1
report,essay,1
import,commun,1
schedul,ai,1
schedul,studi,1
session,articl,1
seven,principl,1
ai,educ,4
ai,go,1
ai,guidanc,1
ai,emphasi,1
ai,literaci,1
ai,use,3
ai,design,1
ai,strategi,1
ai,platform,1
ai,”,1
ai,make,1
ai,handl,1
help,increas,1
help,student,1
offer,step-by-step,1
offer,could,1
offer,prompt,1
step-by-step,guid,1
stanc,school,1
lead,discrimin,1
person,studi,1
take,stanc,1
london,ucl,1
post,“,1
aifwd.com,ai,1
marku,winkler,1
need,ai,1
present,seven,1
present,submit,1
think,evalu,1
”,provid,1
”,world,1
”,dr,1
”,rishabh,1
”,teach,1
quit,long,1
signpost,ai,1
turn,ai,1
unit,state,1
recent,guest,1
togeth,resourc,1
racism,aifwd.com,1
racism,bia,1
reflect,best,1
coursework,essenti,1
handl,assess,1
mayb,relev,1
view,use,1
view,idea,1
section,mayb,1
section,rais,1
educ,”,1
educ,highlight,1
educ,reflect,1
educ,1,1
educ,kid,1
educ,take,1
educ,institut,1
educ,context,1
prompt,gener,1
prompt,use,1
risk,chatgpt,1
literaci,principl,1
resourc,encourag,1
resourc,provid,1
variou,aspect,1
challeng,turn,1
boost,critic,1
build,inclus,1
individu,studi,1
idea,articl,1
strategi,train,1
kuepper-tetzel,recent,1
nordmann,univers,1
develop,respons,1
train,racism,1
emphasi,boost,1
world,econom,1
world,”,1
vital,educ,1
instruct,student,1
guest,post,1
could,overcom,1
could,good,1
provid,balanc,1
provid,student,1
provid,guidanc,1
howev,write,1
suffer,racism,1
school,guid,1
school,”,1
school,proactiv,1
topic,articl,1
studi,schedul,1
studi,plan,2
studi,session,1
use,ai,5
use,instruct,1
use,framework,1
use,chatgpt,1
use,articl,1
use,help,1
use,gener,1
use,use,1
use,cover,1
plan,schedul,1
plan,context,1
licens,examin,1
submit,request,1
shantanu,kumar,1
ucl,resourc,1
navig,new,1
put,togeth,1
criteria,rubric,1
write,rubric,1
materi,mark,1
usml,prompt,1
today,’,1
digest,put,1
framework,educ,1
feedback,report,1
guid,school,1
guid,use,1
’,digest,1
colleg,london,1
good,start,1
gener,ai,3
gener,individu,1
gener,appli,1
pitfal,opportun,1
mark,criteria,1
mark,rubric,2
mark,provid,1
opportun,support,1
awar,offer,1
ai-en,world,1
inclus,ai,1
platform,suffer,1
glasgow,mark,1
state,medic,1
transpar,mark,1
examin,usml,1
outcom,inform,1
commun,openli,1
openli,student,1
articl,present,1
articl,offer,2
articl,rais,1
articl,could,1
articl,quit,1
articl,unit,1
univers,glasgow,1
univers,colleg,1
support,variou,1
support,process,1
cover,imag,1
5,“,1
3,build,1
4,“,1
consist,transpar,1
evalu,ai,1
start,point,1
1,“,1
find,topic,1
pexel,3,1
emili,nordmann,1
feel,articl,1
assess,ai-en,1
assess,either,1
assess,student,1
balanc,view,1
go,anywher,1
2,“,1
teach,learn,2
teach,respons,1
teach,materi,1
best,use,1
essenti,learn,1
imag,shantanu,1
imag,marku,1
bia,impact,1
also,rais,1
descript,challeng,1
context,first,1
context,articl,1
context,5,1
serv,use,1
kid,need,1
highlight,pitfal,1
difficult,gener,1
chatgpt,educ,1
chatgpt,creat,1
directli,use,1
critic,think,1
“,benefit,1
“,ai,1
“,use,1
“,creat,1
“,design,1
lohray,gener,1
come,studi,1
incred,help,1
aspect,teach,1
anywher,vital,1
overcom,feel,1
benefit,risk,1
point,find,1
point,4,1
relev,educ,1
authent,assess,1
respons,today,1
respons,use,2
make,difficult,1
student,navig,1
student,feedback,1
student,come,1
student,also,1
student,signpost,1
guidanc,school,1
guidanc,creat,1
proactiv,teach,1
new,develop,1
institut,2,1
four,section,1
forum,articl,1
request,lead,1
prejud,view,1
learn,gener,1
learn,rubric,1
learn,univers,1
process,howev,1
kumar,pexel,1
impact,outcom,1
inform,present,1
essay,coursework,1
dr,emili,1
econom,forum,1
encourag,respons,1
rubric,”,1
rubric,incred,1
rubric,support,1
rubric,descript,1
rubric,imag,1
rais,awar,1
rais,interest,1
rais,import,1
reinforc,prejud,1
interest,point,1
rishabh,lohray,1
