Source,Target,Weight
smitten,kitchen,1
kitchen,septemb,1
septemb,favorit,1
favorit,food,1
food,weather,1
weather,outlook,1
weather,love,1
outlook,number,1
number,day,1
day,90,1
day,intersect,1
day,gourmet,1
day,’,1
90,degre,1
degre,final,1
final,peter,1
peter,live,1
live,cardigan,1
cardigan,weather,1
love,goe,1
goe,beach,1
goe,cinnamon,1
goe,top,1
beach,weekend,1
weekend,goe,1
cinnamon,stick,1
stick,warm,1
warm,cider,1
warm,dish,1
cider,market,1
market,still,1
still,teem,1
still,warm,1
teem,peach,1
peach,plum,1
peach,grape,1
peach,cobbler,1
plum,zucchini,1
zucchini,eggplant,1
zucchini,rice,1
eggplant,also,1
also,go,1
also,person,1
go,appl,1
go,way,1
appl,pick,1
appl,spice,1
pick,find,1
find,fanci,1
find,’,1
fanci,new,1
new,squash,1
new,jersey,1
squash,cook,1
squash,’,1
cook,cook,1
cook,alway,1
cook,school,1
alway,feel,1
feel,like,1
like,’,1
like,scour,1
like,good,1
like,buckle–styl,1
’,one,1
’,either,1
’,bake,1
’,peach,1
’,fix,1
’,find,1
’,also,1
’,got,1
’,fruit,1
’,even,1
’,butter,1
one,team,1
one,cornmeal,1
one,year,1
team,anoth,1
anoth,—,1
anoth,crispi,1
—,’,2
—,sound,1
either,make,1
either,cake,1
make,capres,1
make,less,1
capres,’,1
bake,ziti,1
bake,oven,1
bake,good,1
ziti,littl,1
littl,in-between,1
in-between,day,1
intersect,summer,1
summer,winter,1
winter,squash,1
grape,pie,1
pie,let,1
let,’,1
fix,read,1
read,someth,1
someth,call,1
call,magic,1
call,farm,1
magic,peach,1
cobbler,make,1
cobbler,asid,1
less,entir,1
entir,pan,1
pan,bake,1
oven,say,1
oven,get,1
say,15,1
15,minut,1
minut,later,1
later,made,1
made,stronger,1
stronger,stuff,1
stuff,come,1
come,way,1
way,grandmoth,1
way,back,1
grandmoth,ian,1
grandmoth,seven,1
grandmoth,—,1
ian,knauer,1
knauer,go,1
back,site,1
site,’,1
person,behind,1
behind,exquisit,1
exquisit,brown,1
brown,butter,1
brown,sugar,1
butter,brown,1
butter,eggless,1
sugar,shorti,1
shorti,day,1
gourmet,day,1
got,place,1
place,call,1
farm,cook,1
school,stockton,1
stockton,new,1
jersey,spoke,1
spoke,recent,1
recent,grandmoth,1
seven,kid,1
seven,year,1
kid,time,1
time,fuss,1
fuss,anyth,1
anyth,straightforward,1
straightforward,recip,1
recip,like,1
recip,conclud,1
recip,agre,1
scour,hundr,1
hundr,recip,1
conclud,nobodi,1
nobodi,agre,1
agre,cobbler,1
agre,’,1
asid,cousin,1
cousin,grunt,1
grunt,pandowdi,1
pandowdi,slump,1
slump,dough-boy,1
dough-boy,never,1
never,get,1
get,tire,1
get,envelop,1
tire,referenc,1
referenc,bake,1
good,funni,1
good,life,1
funni,name,1
name,recip,1
fruit,bottom,1
fruit,goe,1
fruit,crisp,1
bottom,top,1
top,either,1
top,oven,1
top,quickli,1
cake,batter,1
cake,lid,1
cake,creat,1
cake,four,1
cake,five,1
batter,dollop,1
batter,fruit,1
dollop,biscuit,1
biscuit,dumpl,1
biscuit,anoth,1
dumpl,dough,1
dough,sure,1
sure,enough,1
enough,exampl,1
exampl,archiv,1
archiv,one,1
cornmeal,drop,1
drop,biscuit,1
crispi,cake,1
lid,renegad,1
renegad,grandmoth,1
sound,like,1
life,goal,1
goal,tbh,1
tbh,—,1
even,follow,1
follow,rule,1
rule,’,1
eggless,pancake-lik,1
pancake-lik,batter,1
envelop,like,1
buckle–styl,cake,1
creat,deep,1
deep,pocket,1
pocket,collaps,1
collaps,fruit,1
crisp,edg,1
edg,scoop,1
scoop,still,1
dish,vanilla,1
vanilla,ice,1
ice,cream,1
cream,top,1
quickli,succumb,1
succumb,unless,1
unless,finish,1
finish,first,1
first,believ,1
believ,one,1
year,ago,9
ago,zucchini,1
ago,cauliflow,1
ago,fudgi,1
ago,roast,2
ago,skirt,1
ago,snickerdoodl,1
ago,spinach,1
ago,chocol,1
rice,chees,1
chees,gratin,1
chees,seven,1
gratin,two,1
two,year,1
cauliflow,slaw,1
slaw,three,1
three,year,1
fudgi,chocol,1
chocol,sheet,1
chocol,babka,1
sheet,cake,2
four,year,1
roast,appl,1
roast,tomato,1
spice,sheet,1
five,year,1
tomato,soup,1
soup,broil,1
broil,cheddar,1
cheddar,six,1
six,year,1
skirt,steak,1
steak,salad,1
salad,arugula,1
arugula,blue,1
blue,chees,1
snickerdoodl,eight,1
eight,year,1
spinach,quich,1
quich,nine,1
nine,year,1
babka,red,1
red,velvet,1
velvet,cake,1
