Source,Target,Weight
megan,sumeracki,1
sumeracki,cover,1
cover,imag,1
imag,gerd,1
gerd,altmann,1
altmann,pixabay,1
pixabay,note,1
note,blog,1
blog,post,2
post,tad,1
post,scenario,1
tad,longer,1
longer,usual,1
usual,’,1
’,hope,1
’,calendar,1
’,spend,1
hope,header,1
header,help,1
help,navig,1
navig,section,1
section,use,1
use,space,1
use,inform,1
space,practic,7
space,student,1
space,mean,1
practic,work,1
practic,one,1
practic,engag,1
practic,better,1
practic,time,1
practic,retriev,1
practic,test,1
practic,among,1
practic,realli,1
practic,involv,1
practic,help,1
work,memori,1
memori,resourc,1
resourc,deplet,1
deplet,chen,1
chen,et,1
et,al,1
al,experi,1
experi,1,1
1,even,1
even,among,1
even,wors,1
among,top,2
top,effect,1
top,learn,1
effect,evidence-bas,1
evidence-bas,studi,1
studi,strategi,1
studi,tradeoff,1
studi,two,1
studi,studi,1
studi,say,1
studi,howev,1
strategi,write,1
strategi,effici,1
write,space,1
one,best,1
one,reason,1
one,’,1
one,weekend,1
best,space,1
engag,practic,1
better,spread,1
better,yet,1
better,final,1
better,shape,1
spread,practic,1
time,rather,1
time,cram,1
time,one,1
time,minim,1
time,worri,1
time,blog,1
time,space,1
rather,mass,1
mass,cram,1
cram,true,1
cram,technic,1
cram,might,1
true,whether,1
whether,review,1
review,cours,1
cours,materi,1
materi,e.g,1
e.g,repeat,1
repeat,read,1
read,better,1
yet,practic,1
retriev,i.e,1
i.e,bring,1
bring,inform,1
inform,mind,1
inform,futur,1
mind,like,1
like,take,1
like,better,1
take,practic,1
take,bit,1
test,one,1
reason,space,1
learn,strategi,1
learn,learn,1
learn,durabl,1
learn,fall,1
effici,space,1
realli,involv,1
involv,time,1
involv,bit,1
technic,space,1
bit,advanc,1
bit,time,1
advanc,plan,1
plan,mark,1
mark,time,1
calendar,take,1
minim,also,1
also,’,1
spend,time,1
spend,12,1
worri,procrastin,1
procrastin,relax,1
relax,studi,1
tradeoff,exampl,1
exampl,imagin,1
imagin,student,1
imagin,activ,1
student,fall,1
student,could,1
student,learn,1
student,like,1
student,much,1
student,ought,1
fall,semest,1
fall,student,1
semest,final,1
final,exam,2
exam,come,1
exam,cram,1
exam,case,1
exam,4,1
exam,part,1
come,4,1
4,week,2
week,given,1
week,30,1
week,day,1
week,exam,1
week,possibl,1
given,time,1
scenario,might,1
might,closer,1
might,spend,1
closer,realiti,1
realiti,imagin,1
activ,student,1
could,wait,1
could,start,1
wait,day,1
day,two,1
day,–,1
day,even,1
day,late,1
day,per,2
day,one,1
day,six,1
two,exam,1
two,day,1
12,hour,2
12,total,1
hour,librari,1
hour,day,2
hour,three,1
hour,spent,1
librari,studi,1
–,6,1
6,hour,1
wors,12,1
late,night,1
night,could,1
start,studi,1
say,hour,1
three,day,1
per,week,2
30,minut,1
minut,week,1
weekend,day,1
six,day,1
case,12,1
total,hour,1
spent,studi,1
howev,time,1
durabl,long,1
long,run,1
run,space,1
mean,fictiti,1
fictiti,student,1
possibl,importantli,1
importantli,spring,1
spring,next,1
next,class,1
class,build,1
build,upon,1
upon,knowledg,1
knowledg,suppos,1
suppos,learn,1
much,better,1
shape,well,1
well,exam,1
part,student,1
ought,want,1
want,long-term,1
long-term,retent,1
retent,abil,1
abil,use,1
futur,extrem,1
extrem,import,1
import,space,1
